GrLivArea,OverallQual,Neighborhood,GarageCars,BsmtQual,YearBuilt,MSSubClass,SaleType,Condition1,BsmtExposure,MasVnrArea,KitchenQual,SalePrice
2161,8,NridgHt,3,Ex,2007,60,New,Norm,No,300.0,Ex,325624
1720,7,Gilbert,2,Gd,2004,60,WD,Norm,No,0.0,Gd,183500
1656,6,NAmes,2,TA,1960,20,WD,Norm,Gd,112.0,TA,215000
1767,7,StoneBr,2,Gd,1987,160,WD,Norm,No,0.0,Gd,239000
1362,6,NAmes,2,TA,1961,20,COD,Norm,No,491.0,TA,163000
1651,6,Timber,2,Gd,1986,20,WD,Norm,No,132.0,TA,184000
2158,6,Edwards,2,TA,1950,20,WD,Norm,Av,0.0,Gd,243000
2060,6,ClearCr,2,Gd,1988,60,WD,Norm,No,268.0,TA,211000
2234,9,StoneBr,3,Ex,2008,20,New,Norm,No,748.0,Ex,501837
968,5,OldTown,2,TA,1923,30,WD,Norm,No,0.0,TA,100000
1802,7,Crawfor,1,Fa,1920,70,WD,Norm,No,0.0,TA,200100
2082,7,OldTown,2,Gd,2003,50,WD,Norm,No,0.0,Gd,200000
1252,5,BrkSide,2,Fa,1908,50,WD,RRAn,No,0.0,TA,127000
3608,10,OldTown,3,TA,1892,75,WD,Artery,Mn,0.0,Ex,475000
1656,5,OldTown,1,Fa,1916,50,WD,Norm,No,0.0,TA,135000
1224,5,SawyerW,2,Gd,1979,90,WD,Feedr,Av,275.0,TA,153337
1593,8,StoneBr,2,Ex,2001,120,WD,Norm,Av,0.0,Ex,286000
2727,8,Crawfor,2,Gd,1932,70,WD,Norm,No,0.0,Gd,315000
1431,7,CollgCr,2,Gd,1999,20,WD,Norm,Av,0.0,Gd,192000
1709,7,Edwards,2,Gd,2004,160,WD,Norm,No,50.0,Gd,130000
864,5,CollgCr,1,TA,1972,20,WD,Norm,Av,0.0,TA,127000
1456,6,NPkVill,2,Gd,1976,160,WD,Norm,No,0.0,TA,148500
1726,7,Somerst,3,Ex,2007,20,New,Norm,No,205.0,Ex,311872
3112,8,NAmes,2,TA,1918,75,WD,Artery,No,0.0,Gd,235000
1713,8,NridgHt,3,Ex,2004,20,WD,Norm,Av,262.0,Ex,274900
1121,4,Edwards,2,Gd,2003,20,WD,Norm,No,0.0,TA,140000
1279,6,Mitchel,2,TA,1977,20,WD,Norm,No,0.0,TA,171500
1310,6,OldTown,1,Fa,1924,50,COD,Artery,No,0.0,TA,112000
1284,5,OldTown,1,TA,1947,50,WD,Norm,No,0.0,TA,110000
1442,7,Gilbert,2,Gd,1990,20,WD,Norm,No,0.0,TA,180500
1696,5,Sawyer,1,TA,1962,20,WD,RRAe,No,0.0,TA,143900
1092,6,NAmes,2,Gd,1964,20,WD,Norm,No,260.0,TA,145000
1212,6,Edwards,2,Gd,2009,20,WD,Norm,Mn,0.0,Gd,186000
1852,7,Somerst,2,Gd,2009,60,New,Norm,No,0.0,Gd,252678
990,5,CollgCr,2,Gd,1995,20,WD,Norm,No,0.0,TA,156000
1236,5,NAmes,1,TA,1957,20,WD,Norm,No,64.0,Gd,134450
1436,7,CollgCr,2,Gd,2004,20,WD,Norm,Mn,266.0,Gd,210000
1328,4,OldTown,1,TA,1925,70,WD,Norm,No,0.0,TA,107000
1248,7,Blmngtn,2,Gd,2005,120,New,Norm,Av,16.0,Gd,167240
1498,7,CollgCr,2,Gd,2006,20,New,Norm,Mn,0.0,Gd,204900
1552,6,NWAmes,2,Gd,1975,60,WD,RRAn,No,0.0,TA,179900
864,4,NAmes,2,TA,1971,20,WD,Norm,No,0.0,TA,97000
2392,10,NridgHt,3,Ex,2003,20,WD,Norm,Gd,922.0,Ex,386250
1302,5,BrDale,1,TA,1971,160,COD,Norm,No,142.0,TA,112000
2520,7,NoRidge,3,Gd,1995,60,WD,Norm,No,290.0,Gd,290000
987,6,BrDale,1,TA,1970,160,WD,Norm,No,127.0,TA,106000
912,5,Sawyer,1,TA,1967,20,WD,Feedr,No,0.0,TA,125000
1555,7,Blmngtn,2,Gd,2005,120,WD,Norm,Av,16.0,Gd,192500
1194,6,NAmes,1,TA,1959,20,WD,Norm,No,220.0,TA,148000
2794,8,NoRidge,3,Gd,1995,60,WD,Norm,No,506.0,Ex,403000
987,6,BrDale,1,TA,1972,160,WD,Norm,No,297.0,TA,94500
894,5,CollgCr,1,TA,1976,20,WD,Norm,Av,0.0,TA,128200
987,6,BrDale,1,TA,1971,160,WD,Norm,No,604.0,TA,89500
1414,7,CollgCr,2,Gd,2004,20,WD,Norm,Av,98.0,Gd,185500
1694,8,NridgHt,3,Ex,2007,20,New,Norm,No,254.0,Gd,318000
1487,6,Edwards,1,TA,1945,50,WD,Norm,No,0.0,TA,113000
1566,8,Somerst,2,Gd,2008,20,WD,Norm,Av,36.0,Gd,262500
1440,5,OldTown,1,TA,1900,50,WD,Norm,No,0.0,TA,79000
1217,6,SawyerW,1,Gd,1980,160,WD,Norm,No,0.0,TA,120000
1872,7,NWAmes,2,Gd,1988,20,WD,Norm,Av,102.0,TA,241500
1928,6,OldTown,1,Fa,1910,190,WD,Norm,No,0.0,Fa,137000
1375,6,NAmes,2,TA,1954,20,WD,Norm,No,0.0,TA,140000
1668,7,CollgCr,2,Gd,2003,60,WD,Norm,No,101.0,Gd,180000
1625,8,Crawfor,2,Gd,2006,120,WD,Norm,Gd,481.0,Gd,235000
1640,6,SawyerW,2,Gd,2004,60,WD,Norm,No,0.0,Gd,173000
1302,6,NAmes,1,Gd,1964,80,CWD,Norm,Gd,108.0,Gd,158000
1314,5,NAmes,1,TA,1957,20,WD,Norm,No,0.0,TA,145000
2291,7,Gilbert,2,Gd,1999,60,WD,Norm,No,302.0,Gd,230000
1728,6,Somerst,2,Gd,2003,60,WD,Norm,No,0.0,Gd,207500
1604,7,CollgCr,2,Gd,2006,20,WD,Norm,No,180.0,Gd,220000
1792,7,CollgCr,2,Gd,2001,60,WD,Norm,No,172.0,Gd,231500
1382,6,NAmes,2,TA,1962,80,WD,Artery,Gd,399.0,TA,176000
2574,8,CollgCr,3,Ex,2007,60,New,Norm,No,270.0,Ex,276000
1212,6,Sawyer,2,Gd,1977,80,WD,Norm,Av,46.0,TA,151000
1316,5,OldTown,2,TA,1929,50,WD,Norm,No,0.0,TA,130000
764,5,OldTown,2,Fa,1925,30,WD,Artery,No,0.0,TA,73000
1422,6,NWAmes,2,Gd,1981,20,WD,Norm,No,210.0,Gd,175500
1511,6,Gilbert,2,Gd,1997,60,WD,Norm,Av,0.0,TA,185000
2192,5,SWISU,1,TA,1939,75,WD,Norm,No,0.0,Gd,179500
778,5,IDOTRR,1,TA,1940,30,WD,Norm,No,0.0,TA,120500
1939,8,Somerst,3,Gd,2006,60,New,Norm,Mn,0.0,Gd,266000
1363,7,ClearCr,2,Gd,1954,20,WD,Norm,Gd,0.0,TA,241500
2270,8,NoRidge,3,Gd,1999,60,WD,Norm,No,348.0,Gd,290000
1632,6,NAmes,1,TA,1958,20,WD,Feedr,No,183.0,TA,139000
816,5,Mitchel,1,TA,1982,20,WD,Norm,Gd,0.0,TA,124500
1548,7,BrkSide,2,TA,1925,50,WD,Norm,No,0.0,Ex,205000
1560,7,Mitchel,2,Ex,2003,20,WD,Norm,No,0.0,Gd,201000
864,4,Gilbert,2,TA,1951,20,WD,Norm,No,0.0,TA,141000
2121,9,NridgHt,3,Ex,2006,20,New,Norm,Gd,315.0,Ex,415298
2022,7,ClearCr,2,Gd,1977,60,WD,Norm,No,299.0,TA,192000
1982,7,SawyerW,2,Gd,1989,60,WD,Norm,Av,340.0,Gd,228500
1262,6,Somerst,2,Gd,2006,20,New,Norm,No,68.0,Gd,185000
1314,7,NridgHt,2,Gd,2007,120,ConLw,Norm,No,166.0,Gd,207500
1468,8,Somerst,3,Gd,2008,20,New,Feedr,No,72.0,Gd,244600
1575,6,SawyerW,2,Gd,1992,120,WD,Norm,No,0.0,Gd,179200
1250,7,Somerst,2,Gd,2006,160,New,Norm,No,0.0,Gd,164700
1734,6,NAmes,2,TA,1962,50,WD,Norm,No,0.0,Gd,159000
1396,6,BrkSide,1,TA,1915,70,WD,RRAn,No,0.0,TA,153575
1919,8,CollgCr,2,Gd,2006,60,New,Norm,Av,0.0,Gd,233230
1716,5,Edwards,1,TA,1949,50,WD,Norm,No,0.0,TA,131000
1644,6,NAmes,2,TA,1953,20,WD,Norm,No,238.0,TA,167000
1003,6,Mitchel,2,TA,1984,80,WD,Norm,Av,0.0,TA,142500
1558,5,IDOTRR,1,TA,1950,50,WD,Norm,No,0.0,TA,152000
1950,7,Somerst,2,Gd,1997,60,WD,Norm,No,1600.0,Gd,239000
1743,6,NWAmes,2,TA,1968,60,WD,Norm,No,365.0,TA,175000
1152,6,Crawfor,1,TA,1950,20,WD,Norm,No,0.0,Gd,158500
1336,5,Crawfor,1,TA,1953,190,WD,Norm,Mn,56.0,TA,157000
2452,8,CollgCr,2,Gd,1998,60,WD,Norm,No,0.0,Gd,267000
1541,7,CollgCr,3,Gd,2001,20,WD,Norm,No,150.0,Gd,205000
894,5,CollgCr,2,TA,1972,20,WD,Norm,No,0.0,TA,149900
3493,7,OldTown,3,TA,1880,75,WD,Norm,No,0.0,Gd,295000
2000,8,CollgCr,3,Gd,2004,20,WD,Norm,No,246.0,Gd,305900
2243,7,SawyerW,3,Gd,1990,60,WD,Feedr,No,246.0,Gd,225000
1944,9,NridgHt,3,Ex,2003,20,WD,Norm,Gd,0.0,Ex,360000
972,6,NAmes,1,TA,1948,20,WD,Norm,No,0.0,TA,132000
1118,5,OldTown,2,Gd,1939,190,WD,Artery,Mn,0.0,TA,119900
2036,7,Timber,2,Gd,1965,20,WD,Norm,Gd,0.0,TA,375000
1641,7,OldTown,2,TA,1925,70,WD,Norm,No,0.0,Ex,178000
1432,7,Gilbert,2,Gd,2004,60,WD,Norm,No,0.0,Gd,188500
2353,7,NWAmes,2,Gd,1980,60,WD,Norm,No,278.0,Ex,260000
1959,8,Somerst,3,Gd,2006,60,WD,Norm,Av,0.0,Gd,270000
2646,7,NoRidge,3,Gd,1993,60,WD,Norm,Gd,256.0,Gd,260000
2596,9,NridgHt,3,Ex,2006,60,New,Norm,Av,370.0,Gd,342643
2468,8,NridgHt,3,Ex,2004,60,WD,Norm,Av,388.0,Gd,354000
2730,7,SawyerW,2,TA,1986,60,WD,Norm,Gd,172.0,Gd,301000
1163,3,OldTown,1,TA,1955,20,WD,Norm,No,0.0,TA,126175
2978,7,NAmes,2,Gd,1967,80,WD,PosN,No,300.0,Gd,242000
803,5,IDOTRR,2,TA,1941,45,WD,RRAe,Av,0.0,TA,87000
1719,8,Veenker,2,Gd,1993,120,Con,Norm,Gd,0.0,Gd,324000
1383,6,NAmes,1,TA,1960,20,WD,Norm,No,175.0,TA,145250
1192,5,IDOTRR,1,TA,1920,70,WD,Norm,Mn,0.0,TA,78000
1056,5,NAmes,1,TA,1958,20,WD,Norm,No,0.0,TA,139000
1358,7,NridgHt,2,Gd,2004,120,WD,Norm,Av,146.0,Gd,207000
1638,6,Gilbert,2,Gd,1998,60,WD,Norm,Gd,0.0,TA,192000
1922,9,StoneBr,3,Ex,2005,20,WD,Norm,Gd,200.0,Gd,377426
1536,7,CollgCr,2,Gd,2002,20,WD,Norm,Av,113.0,Gd,214000
1621,7,NWAmes,2,Gd,1984,20,WD,Norm,Mn,0.0,Gd,202500
1215,6,NAmes,1,TA,1958,20,WD,Feedr,No,176.0,TA,155000
1908,8,Timber,2,Gd,2002,60,WD,Norm,No,0.0,Gd,202900
841,4,SawyerW,1,TA,1950,20,WD,Feedr,No,0.0,TA,82000
1684,9,NridgHt,2,Ex,2005,120,WD,Norm,No,616.0,Ex,266000
1112,5,MeadowV,1,Gd,1976,160,WD,Norm,No,0.0,TA,85000
1577,6,BrkSide,1,TA,1939,50,WD,RRAn,No,0.0,Fa,140200
1626,7,NridgHt,2,Gd,2003,160,WD,Norm,No,106.0,Gd,154000
2728,9,NridgHt,3,Ex,2005,60,New,Norm,No,870.0,Ex,437154
1869,9,NridgHt,2,Ex,2007,120,New,Norm,No,362.0,Ex,318061
1111,5,Edwards,1,TA,1941,50,ConLw,Artery,Mn,0.0,TA,95000
720,6,OldTown,2,TA,1928,30,WD,Norm,No,0.0,TA,105900
1595,6,SWISU,1,TA,1940,50,WD,Norm,No,0.0,TA,140000
1200,6,CollgCr,2,Gd,1995,20,WD,Norm,No,0.0,Gd,177500
1142,5,MeadowV,2,Gd,1976,120,WD,Norm,No,0.0,TA,134000
1352,5,ClearCr,1,TA,1958,80,WD,Norm,Av,120.0,Gd,130000
1924,8,NoRidge,2,Gd,1998,60,WD,Norm,Av,530.0,Gd,280000
987,6,BrDale,1,TA,1972,160,WD,Norm,No,510.0,Gd,118000
1344,5,IDOTRR,1,TA,1920,70,WD,Norm,No,0.0,TA,147000
1431,6,NAmes,1,Gd,1962,80,WD,Norm,Gd,305.0,TA,165000
1268,5,NAmes,1,TA,1954,20,WD,Norm,No,200.0,TA,132000
752,6,SawyerW,1,Gd,1984,120,WD,Norm,No,0.0,TA,125000
1319,5,NAmes,1,TA,1953,20,WD,Norm,No,0.0,TA,123000
1928,7,CollgCr,2,Gd,2003,60,WD,Norm,No,0.0,Gd,219500
914,5,CollgCr,2,Gd,1996,85,WD,Norm,Av,0.0,TA,148000
2466,8,Somerst,2,Gd,2004,60,WD,Norm,No,0.0,Gd,340000
1856,9,StoneBr,3,Ex,2010,20,New,Norm,Av,350.0,Ex,394432
1800,6,Gilbert,2,Gd,2000,60,WD,RRAn,No,16.0,TA,179000
1691,5,SWISU,1,TA,1924,50,WD,Norm,No,0.0,Gd,127000
1301,7,Somerst,2,Gd,2006,20,New,Norm,No,0.0,Gd,187750
1797,7,CollgCr,2,Gd,2006,60,WD,Norm,Av,0.0,Gd,213500
784,6,SawyerW,2,Fa,1928,45,WD,Norm,No,0.0,TA,76000
1269,8,Blmngtn,2,Gd,2004,120,WD,Norm,No,16.0,Gd,192000
1125,6,Edwards,1,TA,1976,80,WD,Norm,Av,255.0,TA,125000
1479,7,CollgCr,2,Gd,1999,20,WD,Norm,No,125.0,Gd,191000
2332,10,NridgHt,3,Ex,2007,60,New,Norm,Av,272.0,Ex,426000
1367,5,Edwards,1,TA,1900,50,WD,Norm,No,0.0,TA,119000
1961,6,Mitchel,2,Ex,2001,60,WD,Norm,No,0.0,Gd,215000
1034,5,OldTown,1,TA,1940,50,WD,Norm,No,0.0,TA,109000
1144,5,Edwards,1,TA,1956,20,WD,Norm,Av,0.0,TA,129000
894,5,CollgCr,2,TA,1972,20,WD,Norm,Av,0.0,TA,123000
1812,5,NAmes,1,TA,1962,60,WD,PosN,No,288.0,TA,169500
1077,5,IDOTRR,1,Fa,1920,30,WD,Norm,No,0.0,TA,67000
1550,7,Somerst,2,Gd,2006,60,WD,Norm,No,100.0,Gd,241000
1288,8,Veenker,2,Gd,1996,120,WD,Norm,No,0.0,Ex,245500
1310,7,CollgCr,2,Gd,2005,20,New,Norm,Av,0.0,Gd,164990
672,5,Sawyer,1,TA,1940,30,WD,Norm,No,0.0,TA,108000
2263,8,NoRidge,2,Gd,1998,60,WD,Norm,No,650.0,Gd,258000
1639,6,SWISU,1,TA,1936,50,WD,Norm,No,0.0,TA,115000
1680,6,Crawfor,1,Gd,1915,70,WD,Norm,No,0.0,TA,177000
2172,7,NridgHt,3,Ex,2006,60,New,Norm,No,350.0,Gd,280000
2078,8,Somerst,3,Ex,2007,60,New,Norm,No,100.0,Ex,339750
1276,5,Edwards,1,TA,1958,20,COD,Norm,No,0.0,TA,60000
1056,5,Gilbert,2,TA,1955,190,WD,Norm,Mn,0.0,TA,145000
1028,5,OldTown,2,TA,1927,30,WD,Artery,No,0.0,TA,115000
2097,7,SawyerW,3,Gd,1993,60,WD,Norm,No,0.0,Gd,228000
1340,7,Gilbert,2,Gd,2007,20,New,Norm,Av,0.0,Gd,181134
1400,6,Sawyer,2,TA,1978,60,WD,Norm,No,203.0,TA,149500
2624,6,Crawfor,3,Gd,1918,70,WD,Feedr,No,0.0,TA,239000
1134,5,Edwards,1,TA,1940,50,WD,Norm,No,0.0,TA,126000
1056,5,NAmes,1,TA,1968,20,WD,Norm,No,0.0,TA,142000
1344,7,Mitchel,4,Gd,1997,90,WD,Norm,Gd,200.0,TA,206300
988,5,Mitchel,2,TA,1954,20,WD,Artery,No,0.0,TA,113000
2630,8,NoRidge,3,Gd,1998,60,WD,Norm,No,473.0,Gd,315000
1196,6,NAmes,1,Gd,1956,20,WD,Norm,No,74.0,TA,139000
1389,7,OldTown,1,TA,1946,60,WD,Norm,No,0.0,TA,135000
907,4,NAmes,1,TA,1957,20,WD,Norm,No,0.0,TA,109008
1208,7,CollgCr,2,Gd,2007,20,New,Norm,No,108.0,Gd,195400
1412,6,Timber,2,Gd,1988,20,WD,Norm,Mn,0.0,Gd,175000
987,6,BrDale,1,TA,1971,160,COD,Norm,No,232.0,TA,85400
1365,5,BrDale,2,TA,1971,160,WD,Norm,No,376.0,TA,122500
1604,6,Gilbert,2,Gd,1997,60,WD,Norm,No,0.0,TA,181000
1661,7,CollgCr,2,Gd,1996,60,ConLw,PosN,Av,0.0,Gd,212000
1118,6,OldTown,2,Fa,1920,50,WD,Norm,No,0.0,TA,116000
904,6,BrkSide,1,TA,1926,45,WD,Norm,No,0.0,TA,119000
694,5,Crawfor,1,TA,1913,30,WD,Norm,No,0.0,Gd,90350
1196,6,Edwards,2,TA,1920,50,ConLI,Norm,Mn,0.0,Gd,110000
2402,10,NridgHt,3,Ex,2008,20,WD,Norm,Gd,200.0,Ex,555000
1573,5,BrkSide,2,TA,1930,50,WD,Norm,No,0.0,TA,162900
1258,7,Blmngtn,3,Ex,2006,120,New,Norm,Av,72.0,Gd,172500
1908,7,CollgCr,2,Gd,1994,60,WD,Norm,No,0.0,Gd,210000
1689,6,Edwards,2,TA,1956,20,COD,Norm,No,0.0,TA,127500
